ok	lemma	pos	rank	current	suggested	note
	estadounidense	adjetivo	481	De ese país o de sus habitantes.	De Estados Unidos o de sus habitantes.	place name the book lacks: needs your check
	mexicano	adjetivo	570	Que es de méxico o de sus habitantes.	De México o de sus habitantes.	agent ok, still fails: not in the book: mexico.
	francés	adjetivo	819	Que es o viene de ese país europeo.	De Francia, de sus habitantes o de su lengua.	place name the book lacks: needs your check
	inglés	adjetivo	895	Que pertenece a un país de europa o a su idioma.	De Inglaterra o de su lengua.	agent ok, still fails: not in the book: inglaterra.
	argentino	adjetivo	909	Que es natural de un país de américa del sur.	De Argentina o de sus habitantes.	agent ok, still fails: uses the headword or one of its forms.
	europeo	adjetivo	948	Que tiene que ver con un lugar o sus habitantes.	De Europa o de sus habitantes.	place name the book lacks: needs your check
	alemán	adjetivo	996	Que pertenece a ese país o a sus personas.	De Alemania, de sus habitantes o de su lengua.	place name the book lacks: needs your check
	libio	adjetivo	1031	Que es natural de Libia o pertenece a ese país.	De Libia o de sus habitantes.	agent ok, still fails: uses the headword or one of its forms.
	británico	adjetivo	1405	Que pertenece o viene del país del Reino Unido.	Del Reino Unido o de sus habitantes.	agent ok, still fails: not in the book: reino.
	ruso	adjetivo	1494	Que tiene que ver con el país grande del norte o sus habitantes.	Que tiene que ver con el país más grande del mundo o su gente.	agent fix, still fails: over 12 words. "país grande del norte" does not identify Russia (fits Canada)
	italiano	adjetivo	1550	Que tiene que ver con Italia o sus habitantes.	De Italia o de sus habitantes.	agent ok, still fails: not in the book: italia.
	árabe	adjetivo	1557	Que tiene que ver con la gente o cultura de Arabia.	De los pueblos de Oriente Medio y del norte de África.	agent fix, still fails: not in the book: africa, oriente. 14 words, and 'esta lengua' refers to nothing (place-name exception applies)
	estrella	sustantivo	1673	Cuerpo que se ve en el cielo por la noche.	Cuerpo que da luz propia y se ve en el cielo de noche.	agent fix, still fails: over 12 words. Too vague: also fits the moon and planets
	colombiano	adjetivo	1715	Que pertenece a ese país de américa o es propio de él.	De Colombia o de sus habitantes.	agent ok, still fails: not in the book: colombia.
	venezolano	adjetivo	1815	Que es de ese país de américa del sur.	De Venezuela o de sus habitantes.	agent ok, still fails: not in the book: venezuela.
	catalán	adjetivo	2067	De Cataluña o de su lengua.	De Cataluña o de su lengua.	agent ok, still fails: not in the book: cataluña.
	palestino	sustantivo	2222	Persona nacida o natural de esa tierra.	Persona de Palestina.	place name the book lacks: needs your check
	chino	adjetivo	2242	Que es de china o de sus habitantes.	De China o de sus habitantes.	agent ok, still fails: uses the headword or one of its forms.
	israelí	adjetivo	2310	De Israel o de sus habitantes.	De Israel o de sus habitantes.	agent ok, still fails: not in the book: israel.
	japonés	adjetivo	2412	De Japón o de sus habitantes.	De Japón o de sus habitantes.	agent ok, still fails: not in the book: japon.
	chileno	adjetivo	2445	De Chile o relacionado con este país.	De Chile o de sus habitantes.	agent ok, still fails: not in the book: chile.
	cubano	adjetivo	2463	De Cuba o relacionado con este país.	De Cuba o de sus habitantes.	agent ok, still fails: not in the book: cuba.
	dominicano	adjetivo	2468	De la nación que comparte isla con el país vecino.	De la República Dominicana o de sus habitantes.	place name the book lacks: needs your check
	egipcio	adjetivo	2865	De ese país o de sus habitantes.	De Egipto o de sus habitantes.	place name the book lacks: needs your check
	sirio	adjetivo	2895	De ese país o de sus habitantes.	De Siria o de sus habitantes.	place name the book lacks: needs your check
	vasco	adjetivo	3032	De la comunidad del norte.	Del País Vasco, de sus habitantes o de su lengua.	place name the book lacks: needs your check
	musulmán	sustantivo	3127	Persona que sigue la religión de los musulmanes.	Persona que sigue la religión de Mahoma.	agent ok, still fails: not in the book: mahoma.
