ok	lemma	pos	rank	current	suggested	note
	un	determinante	11	Señala un nombre de cosa o persona.	Presenta algo por primera vez, sin decir cuál.	
	no	adverbio	15	Indica que algo no es verdad o no pasa.	Niega lo que se dice después.	
	ser	verbo	18	Indica cómo es algo o qué es algo.	Indica la identidad, el origen o la calidad de algo.	
	lo	pronombre	22	Reemplaza a un nombre de cosa o persona.	Ocupa el lugar de algo o alguien del que ya se habló.	
	o	conjunción	27	Une alternativas o distintas opciones.	Une dos ideas entre las que hay que elegir.	
	hora	sustantivo	101	Cada una de las partes en que se divide un día.	Tiempo de sesenta minutos; el día tiene veinticuatro.	number words missing: needs your check
	embargo	sustantivo	114	Retención legal de bienes por orden de un juez.	Orden de un juez que quita a alguien el uso de sus bienes.	sense: learners meet it mostly in "sin embargo"; consider dropping like través
	euro	sustantivo	140	Moneda de varios países de europa.	Moneda que usan muchos países de Europa.	place name: needs your check
	ver	verbo	144	Percibir algo con los ojos.	Recibir con los ojos la imagen de algo.	
	casi	adverbio	170	Indica proximidad sin llegar a ser.	Indica que falta poco para llegar a algo.	
	hacia	preposición	211	Preposición que indica el lugar al que uno va.	Indica la dirección en la que va algo o alguien.	
	hablar	verbo	469	Expresar ideas con palabras de forma oral.	Decir palabras con la voz.	
	libertad	sustantivo	508	Posibilidad de actuar sin nada que lo impida.	Poder de actuar y decidir por uno mismo.	
	marcha	sustantivo	522	Acto en que muchas personas caminan juntas.	Acto en que muchas personas van juntas por la calle para pedir algo.	
	línea	sustantivo	544	Trazo que une dos puntos.	Marca larga que va de un punto a otro.	
	mexicano	adjetivo	570	Que es de méxico o de sus habitantes.	De México o de sus habitantes.	place name: needs your check
	película	sustantivo	572	Historia contada con imágenes en movimiento.	Historia que se cuenta con imágenes en movimiento, en el cine o la televisión.	
	sentido	sustantivo	593	Capacidad de notar el mundo exterior.	Capacidad del cuerpo para conocer el mundo, como la vista o el oído.	
	tomar	verbo	631	Coge algo con la mano o lo lleva a la boca.	Poner algo en la mano; también, meter comida o agua en la boca.	
	sur	sustantivo	646	Punto del horizonte que queda delante cuando se mira al polo donde hace más frío.	Punto contrario al norte.	
	fuego	sustantivo	759	Llama que sale cuando algo se quema.	Llamas, luz y calor que salen de la madera u otra cosa al arder.	uses arder, missing from the book: needs your check
	banco	sustantivo	779	Mueble largo para que varias personas se sienten.	Empresa que guarda el dinero de la gente y presta dinero.	sense: bank first, not bench
	nuclear	adjetivo	802	Relacionado con la energía que sale del núcleo del átomo.	Relacionado con la energía que dan las centrales y ciertas bombas.	
	hospital	sustantivo	807	Lugar donde atienden y ayudan a enfermos.	Edificio donde los médicos ayudan y tratan a los enfermos.	
	cadena	sustantivo	869	Línea de piezas de metal unidas una con otra.	Piezas de metal que se unen una tras otra en fila.	
	inglés	adjetivo	895	Que pertenece a un país de europa o a su idioma.	De Inglaterra o de su lengua.	place name: needs your check
	argentino	adjetivo	909	Que es natural de un país de américa del sur.	De Argentina o de sus habitantes.	place name: needs your check
	prisión	sustantivo	913	Lugar donde se encierra a quien hace algo ilegal.	Edificio donde deben vivir, sin poder salir, quienes cometieron un delito.	
	sacar	verbo	978	Quitar algo de donde estaba guardado.	Poner algo fuera del lugar donde estaba.	
	referencia	sustantivo	998	Indicación que señala algo o alguien.	Algo que se dice o se usa para señalar otra cosa.	
	accidente	sustantivo	1002	Suceso que causa daño de forma repentina.	Hecho que ocurre sin querer y causa daño.	
	cárcel	sustantivo	1021	Edificio donde se encierra a personas culpables de delitos.	Lugar cerrado donde la justicia tiene a las personas que hacen delitos.	
	libio	adjetivo	1031	Que es natural de Libia o pertenece a ese país.	De Libia o de sus habitantes.	place name: needs your check
	contrato	sustantivo	1059	Acuerdo escrito entre partes que obliga a cumplirlo.	Acuerdo escrito que obliga a las partes a cumplir lo que dice.	
	delito	sustantivo	1090	Acción que la ley considera mala y castiga.	Acción que va contra la ley y que tiene una pena.	
	arte	sustantivo	1174	Conjunto de técnicas para crear obras bellas.	Actividad humana que crea obras como la pintura, la música o el cine.	
	duro	adjetivo	1198	Que no es blando al tocarlo.	Que no se rompe ni cambia de forma con facilidad.	
	suerte	sustantivo	1206	Circunstancia que afecta a alguien de forma imprevista.	Lo que pasa sin que nadie lo decida, sea bueno o malo.	
	sueño	sustantivo	1218	Imágenes que se ven mientras se está dormido.	Ganas de dormir; también, lo que se ve al dormir.	
	mesa	sustantivo	1275	Mueble con superficie plana y cuatro patas.	Objeto con una superficie encima de la que se come o se escribe.	
	hotel	sustantivo	1298	Edificio con habitaciones para que viajen y duerman en él.	Edificio donde se paga por dormir y comer cuando se viaja.	
	oficina	sustantivo	1327	Lugar donde se realiza trabajo de oficina.	Lugar donde se hace un trabajo con papeles o con ordenador.	
	cerrar	verbo	1328	Mover una puerta para cubrir un hueco.	Hacer que algo abierto, como una puerta, no deje pasar.	
	generación	sustantivo	1335	Grupo de personas nacidas en fechas próximas.	Grupo de personas que tienen más o menos la misma edad.	
	fiesta	sustantivo	1361	Reunión para celebrar algo y pasarlo bien.	Reunión de personas para celebrar algo y pasar un buen rato.	
	británico	adjetivo	1405	Que pertenece o viene del país del Reino Unido.	Del Reino Unido o de sus habitantes.	place name: needs your check
	tribunal	sustantivo	1517	Lugar donde se decide sobre delitos o pleitos.	Grupo de jueces que decide sobre un caso; también, su edificio.	
	carga	sustantivo	1532	Peso o mercancía que lleva un vehículo.	Cosas que lleva un vehículo o una persona.	
	ceremonia	sustantivo	1538	Acto formal y serio con reglas establecidas.	Acto serio que se hace siguiendo unas normas.	
	vino	sustantivo	1540	Bebida con alcohol que se hace de la fruta de la vid.	Bebida con alcohol que se hace con el fruto de una planta.	
	italiano	adjetivo	1550	Que tiene que ver con Italia o sus habitantes.	De Italia o de sus habitantes.	place name: needs your check
	árabe	adjetivo	1557	Que tiene que ver con la gente o cultura de Arabia.	De los pueblos del norte de África y Oriente Medio que hablan esta lengua.	place name: needs your check
	paciente	sustantivo	1579	Persona que recibe atención médica por estar enferma.	Persona que recibe la atención de un médico.	
	corte	sustantivo	1707	Acción de separar algo con un objeto afilado.	Acción de separar algo en partes con un objeto que corta.	
	colombiano	adjetivo	1715	Que pertenece a ese país de américa o es propio de él.	De Colombia o de sus habitantes.	place name: needs your check
	sencillo	adjetivo	1737	Que no tiene problemas ni partes de adorno.	Que no es difícil ni tiene muchas partes.	
	caja	sustantivo	1741	Objeto con tapa para guardar cosas.	Objeto con fondo y lados que sirve para guardar cosas.	
	venezolano	adjetivo	1815	Que es de ese país de américa del sur.	De Venezuela o de sus habitantes.	place name: needs your check
	cien	numeral	1866	Número que sigue a noventa y nueve.	Diez veces diez.	
	boca	sustantivo	1894	Abertura en la cara para comer y hablar.	Parte de la cara por la que se come y se habla.	
